########## UNSATISFIED USERS ##########
User 4 satisfaction: -5
User 5 satisfaction: -5
User 6 satisfaction: -10
User 8 satisfaction: -5
User 10 satisfaction: -5
User 11 satisfaction: -10
User 12 satisfaction: -5
User 13 satisfaction: -10
User 14 satisfaction: -10
User 16 satisfaction: -10
User 18 satisfaction: -5
User 19 satisfaction: -10
User 20 satisfaction: -10
User 21 satisfaction: -5
User 22 satisfaction: -5
User 23 satisfaction: -10
User 28 satisfaction: -5
User 29 satisfaction: -10
User 30 satisfaction: -10
User 31 satisfaction: -5
User 34 satisfaction: -10
User 36 satisfaction: -5
User 37 satisfaction: -10
User 38 satisfaction: -5
User 39 satisfaction: -10
User 40 satisfaction: -5
User 42 satisfaction: -10
User 43 satisfaction: -10
User 44 satisfaction: -5
User 45 satisfaction: -10
User 46 satisfaction: -5
User 47 satisfaction: -10
User 49 satisfaction: -5
User 50 satisfaction: -10
User 51 satisfaction: -5
User 52 satisfaction: -10
User 53 satisfaction: -5
User 54 satisfaction: -5
User 55 satisfaction: -10
User 57 satisfaction: -10
User 59 satisfaction: -10
User 60 satisfaction: -10
User 61 satisfaction: -5
User 62 satisfaction: -10
User 63 satisfaction: -10
User 64 satisfaction: -10
User 66 satisfaction: -10
User 67 satisfaction: -10
User 68 satisfaction: -5
User 69 satisfaction: -10
User 70 satisfaction: -5
User 71 satisfaction: -5
User 72 satisfaction: -10
User 73 satisfaction: -10
User 74 satisfaction: -5
User 75 satisfaction: -5
User 76 satisfaction: -10
User 77 satisfaction: -5
User 78 satisfaction: -10
User 80 satisfaction: -10
User 81 satisfaction: -10
User 85 satisfaction: -10
User 86 satisfaction: -10
User 88 satisfaction: -10
User 89 satisfaction: -10
User 90 satisfaction: -10
User 91 satisfaction: -10
User 92 satisfaction: -5
User 93 satisfaction: -10
User 94 satisfaction: -10
User 95 satisfaction: -5
User 96 satisfaction: -10
User 98 satisfaction: -10
User 100 satisfaction: -5
User 102 satisfaction: -10
User 103 satisfaction: -5
User 104 satisfaction: -5
User 105 satisfaction: -10
User 106 satisfaction: -5
User 107 satisfaction: -10
User 109 satisfaction: -10
User 110 satisfaction: -5
User 112 satisfaction: -10
User 114 satisfaction: -10
